INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 3539945939
INFO: Loaded 1 modules   (968 inline 8-bit counters): 968 [0x5e8cc57128f8, 0x5e8cc5712cc0), 
INFO: Loaded 1 PC tables (968 PCs): 968 [0x5e8cc5712cc0,0x5e8cc5716940), 
INFO: -max_len is not provided; libFuzzer will not generate inputs larger than 4096 bytes
INFO: A corpus is not provided, starting from an empty corpus
#2	INITED cov: 50 ft: 51 corp: 1/1b exec/s: 0 rss: 32Mb
    #1 0x5e8cc56b92aa in get_object_item /promefuzz/database/cjson/latest/code/cJSON.c:1970:46
    #2 0x5e8cc56b8fd6 in cJSON_GetObjectItem /promefuzz/database/cjson/latest/code/cJSON.c:1985:12
    #3 0x5e8cc56bbc04 in cJSON_DetachItemFromObject /promefuzz/database/cjson/latest/code/cJSON.c:2311:24
    #4 0x5e8cc56b22ab in LLVMFuzzerTestOneInput /promefuzz/database/cjson/latest/out/tmp/fuzz_driver_30/fuzz_driver_30_sanitizing_1787880548.c:162:35
    #5 0x5e8cc55bece4 in fuzzer::Fuzzer::ExecuteCallback(unsigned char const*, unsigned long) (/promefuzz/database/cjson/latest/out/tmp/fuzz_driver_30/fuzz_driver_30_sanitizing_1787880548+0x53ce4) (BuildId: 08c3c259181cf7ab7bd2f04ab5df1d5336956657)
    #6 0x5e8cc55be3d9 in fuzzer::Fuzzer::RunOne(unsigned char const*, unsigned long, bool, fuzzer::InputInfo*, bool, bool*) (/promefuzz/database/cjson/latest/out/tmp/fuzz_driver_30/fuzz_driver_30_sanitizing_1787880548+0x533d9) (BuildId: 08c3c259181cf7ab7bd2f04ab5df1d5336956657)
    #7 0x5e8cc55bfbc5 in fuzzer::Fuzzer::MutateAndTestOne() (/promefuzz/database/cjson/latest/out/tmp/fuzz_driver_30/fuzz_driver_30_sanitizing_1787880548+0x54bc5) (BuildId: 08c3c259181cf7ab7bd2f04ab5df1d5336956657)
    #8 0x5e8cc55c0725 in fuzzer::Fuzzer::Loop(std::vector<fuzzer::SizedFile, std::allocator<fuzzer::SizedFile>>&) (/promefuzz/database/cjson/latest/out/tmp/fuzz_driver_30/fuzz_driver_30_sanitizing_1787880548+0x55725) (BuildId: 08c3c259181cf7ab7bd2f04ab5df1d5336956657)
    #9 0x5e8cc55ad9ff in fuzzer::FuzzerDriver(int*, char***, int (*)(unsigned char const*, unsigned long)) (/promefuzz/database/cjson/latest/out/tmp/fuzz_driver_30/fuzz_driver_30_sanitizing_1787880548+0x429ff) (BuildId: 08c3c259181cf7ab7bd2f04ab5df1d5336956657)
    #10 0x5e8cc55d8086 in main (/promefuzz/database/cjson/latest/out/tmp/fuzz_driver_30/fuzz_driver_30_sanitizing_1787880548+0x6d086) (BuildId: 08c3c259181cf7ab7bd2f04ab5df1d5336956657)
    #11 0x78868aea31c9 in __libc_start_call_main csu/../sysdeps/nptl/libc_start_call_main.h:58:16
    #12 0x78868aea328a in __libc_start_main csu/../csu/libc-start.c:360:3
    #13 0x5e8cc55a29e4 in _start (/promefuzz/database/cjson/latest/out/tmp/fuzz_driver_30/fuzz_driver_30_sanitizing_1787880548+0x379e4) (BuildId: 08c3c259181cf7ab7bd2f04ab5df1d5336956657)

0x5020003c4610 is located 0 bytes inside of 1-byte region [0x5020003c4610,0x5020003c4611)
freed by thread T0 here:
    #0 0x5e8cc5672b7a in free (/promefuzz/database/cjson/latest/out/tmp/fuzz_driver_30/fuzz_driver_30_sanitizing_1787880548+0x107b7a) (BuildId: 08c3c259181cf7ab7bd2f04ab5df1d5336956657)
    #1 0x5e8cc56b277c in LLVMFuzzerTestOneInput /promefuzz/database/cjson/latest/out/tmp/fuzz_driver_30/fuzz_driver_30_sanitizing_1787880548.c:200:9
